1121,,
0,1,20.74
0,20,19.76
0,21,45.72
1,2,19.44
1,21,24.98
1,22,36.88
2,3,28.03
2,22,28.88
2,23,46.49
3,4,34.65
3,23,18.46
3,24,48.57
4,5,28.28
4,24,45.36
4,25,54.45
5,6,41.67
5,25,26.17
5,26,53.59
6,7,13.6
6,26,15.36
6,27,9.35
7,8,37.82
7,27,12.67
7,28,52.77
8,9,35.92
8,28,38.99
8,29,33.35
9,10,24.66
9,29,3.57
9,30,29.24
10,11,33.24
10,30,35.4
10,31,46.59
11,12,20.67
11,31,18.37
11,32,29.38
12,13,28.34
12,32,18.63
12,33,42.65
13,14,18.65
13,33,14.31
13,34,40.53
14,15,36.85
14,34,30.14
14,35,53.69
15,16,40.72
15,35,16.84
15,36,41.46
16,17,26.22
16,36,30.32
16,37,28.93
17,18,20.13
17,37,34.85
17,38,40.43
18,19,37.76
18,38,20.3
18,39,36.93
19,39,11.67
20,21,25.96
20,40,53.8
20,41,33.13
21,22,11.9
21,41,20.15
21,42,32.11
22,23,25.49
22,42,25.91
22,43,51.81
23,24,30.11
23,43,28.1
23,44,22.93
24,25,17.77
24,44,24.6
24,45,38.54
25,26,27.42
25,45,29.45
25,46,55.52
26,27,19.05
26,46,28.1
26,47,37.93
27,28,40.1
27,47,40.5
27,48,47.21
28,29,40.6
28,48,11.39
28,49,39.64
29,30,31.81
29,49,37.98
29,50,49.13
30,31,11.19
30,50,28.82
30,51,37.25
31,32,32.15
31,51,26.06
31,52,42.44
32,33,24.02
32,52,37.43
32,53,51.72
33,34,29.46
33,53,29.62
33,54,41.18
34,35,23.55
34,54,42.84
34,55,37.39
35,36,24.62
35,55,35.52
35,56,40.79
36,37,21.67
36,56,24.23
36,57,41.21
37,38,30.88
37,57,42.6
37,58,59.58
38,39,26.81
38,58,34.82
38,59,39.57
39,59,34.62
40,41,46.15
40,60,13.52
40,61,26
41,42,24.94
41,61,26.25
41,62,50.92
42,43,31.6
42,62,25.98
42,63,37.16
43,44,26.63
43,63,15.62
43,64,23.98
44,45,45.72
44,64,27.37
44,65,47.88
45,46,26.07
45,65,17.7
45,66,33.99
46,47,31.99
46,66,12.38
46,67,19.45
47,48,10.75
47,67,43.92
47,68,34.68
48,49,32.53
48,68,27.97
48,69,58.12
49,50,24.05
49,69,25.59
49,70,47.55
50,51,34.87
50,70,30.74
50,71,18.48
51,52,16.38
51,71,33.09
51,72,35.95
52,53,31.33
52,72,19.57
52,73,22.43
53,54,16.24
53,73,15.7
53,74,27.96
54,55,22.43
54,74,21.5
54,75,48.26
55,56,33.41
55,75,25.83
55,76,46.24
56,57,25.04
56,76,19.29
56,77,38.35
57,58,16.98
57,77,13.31
57,78,21.58
58,59,27.01
58,78,4.86
58,79,31.34
59,79,32.43
60,61,28.96
60,80,12.02
60,81,33.02
61,62,33.77
61,81,20.54
61,82,66.13
62,63,21.9
62,82,32.36
62,83,27.25
63,64,18.76
63,83,16.07
63,84,47.74
64,65,25.93
64,84,29.32
64,85,58.82
65,66,31.83
65,85,38.31
65,86,43.3
66,67,11.53
66,86,20.95
66,87,46.17
67,68,51.42
67,87,34.64
67,88,49.32
