1000
5000,5000
5596,5596
5153,4847
4512,5488
5369,5369
4846,4540
4450,5426
5360,5378
4005,3699
4443,5433
5345,5393
4035,3669
4562,5552
5683,5731
4527,3177
4845,5269
6044,6092
4949,2755
5263,5687
6344,5792
5435,2269
6211,6635
6239,5687
5428,2262
6836,7260
5506,6420
5510,2344
6537,6961
5113,6027
5390,2464
6762,7186
4759,5673
4803,3051
7125,6823
4844,5588
4744,3110
7246,6944
4596,5836
4785,3151
7788,6402
4018,6414
4654,3282
8210,6824
3403,5799
5244,2692
8107,6721
3786,6182
5555,2381
8017,6631
4101,6497
5385,2551
7670,6978
3364,7234
6196,3362
7925,6723
4021,7891
5899,3065
8695,7493
3910,7780
5802,2968
8886,7684
4622,7068
5441,3329
8192,8378
5351,6339
6068,3956
7751,8819
5989,5701
5809,3697
7726,8844
6857,6569
6426,4314
8126,9244
6641,6785
6150,4590
8030,9340
7048,7192
6632,4108
8179,9191
7177,7063
6329,4411
7371,8383
7153,7039
6399,4481
7535,8547
7079,6965
6565,4647
7249,8833
6943,6829
6038,4120
6814,8398
6635,6521
6012,4146
7145,8067
6507,6649
5597,3731
7173,8039
6496,6660
5142,4186
7385,8251
6655,6819
5129,4173
7785,8651
6363,6527
4839,3883
7066,9370
6684,6848
4598,3642
7256,9180
5882,6046
3945,2989
7356,9080
5876,6040
3630,2674
7420,9016
5389,6527
3891,2413
7289,8885
5893,6023
3049,3255
7220,8816
5913,6003
3669,3875
6550,8146
5446,6470
3424,3630
6477,8219
5321,6595
3646,3852
6608,8350
5119,6797
3515,3721
6240,7982
5021,6699
2735,2941
5963,8259
5470,6250
3458,3664
5780,8076
5670,6050
3078,3284
5946,8242
5329,6391
3677,3883
6163,8025
4903,6817
3321,3527
6214,7974
5134,6586
2828,4020
5972,7732
4780,6232
2855,4047
5445,8259
5149,6601
3379,4571
5536,8168
4814,6936
3670,4280
6243,7461
4817,6939
3913,4037
5882,7822
4948,6808
3205,4745
6338,8278
5555,6201
3007,4547
6766,8706
5627,6273
3216,4756
6833,8639
5073,6827
3662,5202
6582,8388
4502,6256
3464,5400
5934,7740
4620,6374
3539,5475
5746,7928
4186,6808
2993,6021
5029,8645
3861,7133
2946,6068
4588,8204
4386,6608
2465,6549
5468,9084
4802,7024
1862,7152
5206,8822
4691,7135
1609,7405
5177,8851
4043,7783
930,6726
5039,8713
3787,7527
318,6114
4782,8456
4606,6708
718,5714
4901,8575
3995,7319
791,5787
4616,8290
3455,7859
529,6049
5319,8993
3857,8261
153,5673
5251,8925
4142,8546
379,5447
5421,8755
4095,8593
301,5525
5890,8286
4812,9310
275,5551
5494,8682
4836,9334
805,6081
5848,9036
4837,9333
789,6065
5815,9003
4911,9259
1058,6334
6756,9944
4747,9423
1002,6390
6711,9899
4857,9533
1283,6671
6482,9670
4809,9581
1721,7109
6216,9936
4668,9722
2204,7592
6173,9893
4425,9965
2572,7224
5887,9607
3858,9398
1930,6582
6563,8931
4048,9208
1690,6342
6193,8561
4090,9250
1900,6552
6259,8627
4060,9220
2184,6268
5408,7776
3634,8794
2436,6016
5371,7739
4367,8061
2619,6199
5026,8084
