1600,,
0,26.62,35.48
1,3.47,69.43
2,22.98,111.15
3,25.43,159.45
4,34.96,166.37
5,33,215.93
6,8.69,240.53
7,20.11,285.37
8,10.52,330.38
9,16.21,398.82
10,25.76,431.69
11,32.67,454.86
12,17.77,505.54
13,12.34,546.65
14,18.36,591.72
15,13.52,630.2
16,23.01,644.7
17,14.97,702.02
18,31.2,737.97
19,8.29,790.27
20,35.86,823.53
21,29.21,872.14
22,37.2,883.54
23,32.5,946.24
24,38.19,964.73
25,20.43,1021.2
26,11.28,1055.93
27,2.89,1093
28,2.22,1145.54
29,14.4,1178.48
30,8.87,1217.66
31,26.66,1241.14
32,5.35,1294.31
33,32.32,1360
34,33.3,1379.95
35,13.53,1424.79
36,17.11,1475.02
37,14.72,1481.43
38,19.24,1522.02
39,8.12,1568.83
40,76.25,1.65
41,43.25,55.82
42,47.21,84.58
43,52.44,142.68
44,71,177.29
45,70.41,208.24
46,49.05,262.91
47,54.96,306.51
48,55.72,339.68
49,70.99,391.86
50,50.12,438.73
51,75.42,479.19
52,47.81,503.12
53,49.37,527.09
54,50.81,595.13
55,74.18,616.46
56,61.22,649.73
57,62.1,711.83
58,46.32,758.83
59,55.18,760.67
60,71.32,837.03
61,50.02,861.86
62,50.4,892.91
63,61.54,954.71
64,61.05,976.03
65,45.74,1020.81
66,45.52,1041.46
67,54.09,1082.54
68,70.61,1129.2
69,49.07,1197.36
70,69.38,1225.14
71,73.68,1244.4
72,55.23,1301.69
73,77.25,1351.39
74,78.5,1387.16
75,72.35,1434.87
76,72.1,1455.98
77,62.38,1518.41
78,57.66,1525.82
79,65.95,1566.42
80,99.38,34.26
81,119.91,70.41
82,117.52,84.8
83,116.59,126.68
84,89.67,180.77
85,84.55,217.29
86,109.5,262.71
87,117.71,280.53
88,98.53,327.28
89,119.47,363.47
90,114.65,426.8
91,99.59,479.07
92,81.04,492.28
93,82.65,535.8
94,87.48,596.18
95,105.78,630.74
96,117.33,654.88
97,81.03,689.56
98,110.9,723.87
99,88.98,784.39
100,88.33,809.24
101,115.33,850.21
102,87.68,905.13
103,98.1,957.08
104,85.09,993.56
105,91.88,1036.04
106,116.18,1075.81
107,94.05,1108.52
108,117.6,1123.45
109,96.35,1193.65
110,119.34,1206.47
111,117.1,1250.65
112,94.76,1295.17
113,104,1354
114,119.2,1369.99
115,118.03,1400.75
116,112.9,1441.88
117,102.46,1512.57
118,97.38,1557.83
119,91.65,1574.53
120,129.43,28.95
121,123.45,51.01
122,130.85,113.15
123,154.59,127.58
124,156.24,187.02
125,124.57,226.74
126,123.57,269.9
127,146.46,301.58
128,149.43,350.89
129,140.8,390.69
130,140.34,400.98
131,132.75,443.72
132,131.21,502.68
133,133.49,536.62
